"sampleID","tubeLabel","plateID","sampleType","CDCA","GCDCA","TCDCA","UDCA","GUDCA","TUDCA","DCA","GDCA","LCA","GLCA","TLCA","CA","GCA","TCA","TDCA"
"CAL8#10",NA,"SRVp008","cal",2.2837037143,10.0222397733,2.7933319167,2.8449765795,2.6306402943,4.0791836862,2.7311283848,5.8096570573,2.7664641193,2.5762536215,2.536809339,2.7773617844,5.5268825521,2.530825525,2.8658076513
"CAL7#11",NA,"SRVp008","cal",5.52513816,21.2278951813,5.0330948897,5.0482443861,5.3827757563,5.7769529006,5.4881958776,4.1463145606,7.5014205826,5.3837162349,5.7425978591,5.3053374239,5.1713469943,5.5001281536,5.1309732937
"CAL6#12",NA,"SRVp008","cal",10.4080625052,37.2162832259,10.0820266074,9.5523060523,9.111747509,9.4249212968,8.7802495114,11.3193483317,10.1510090046,9.6069249001,9.0063752996,9.0198871501,9.8293981551,9.2844744229,9.6783179231
"CAL5#13",NA,"SRVp008","cal",24.6012277559,101.4093197422,23.3460736749,23.4702169445,23.5603018161,23.7282791639,25.3816984857,26.1399567342,23.6926939254,23.9408487258,23.290890405,24.0527993908,23.9839214637,24.3969359212,23.0080121427
"CAL4#14",NA,"SRVp008","cal",98.1277966924,404.4050964154,99.2703600983,99.6611370691,98.9898185871,96.7713926925,90.6421533288,95.1662398758,95.1220652311,96.6012052216,100.4105240145,98.6602354723,104.4140543475,98.7927441658,95.2743092979
"CAL3#15",NA,"SRVp008","cal",250.586765653,984.0985183404,237.9244624356,242.2930914367,258.1387028139,243.5169149778,251.5724850756,265.1206687539,246.4998385161,251.1390075074,255.135479696,246.8674148222,240.2408546358,263.1210573767,250.2772013694
"CAL2#16",NA,"SRVp008","cal",472.0431864512,1975.4582573028,475.5505465661,482.9074439815,500.462897155,500.4229978392,496.0010170646,492.9514398211,484.1177592395,500.6087393178,483.4590641114,483.9981328251,511.9695406615,454.0337745308,479.2127259652
"CAL1#17",NA,"SRVp008","cal",1028.9241190679,4036.1623900187,1038.5001038114,1026.7225835501,994.2231160684,1010.3585411292,1011.9030722714,995.1560319227,1025.1501699639,1002.6433044708,1012.9182592754,1021.818831131,994.3908837421,1034.8400599039,1027.0526523568
"LTR#1",NA,"SRVp008","ltr",432.942520932,1777.2891373773,270.1418046698,64.3062299077,176.7877331586,13.5060306771,330.02314661,485.2236509479,7.720112371,22.1364379365,3.1584959939,149.0574985439,409.3385489385,97.1461649394,100.861998393
"SRV00338","1649-18","SRVp008","sample",4424.4741100275,928.1014749781,150.5539902362,143.0309830482,51.6073796199,6.6960312088,926.4183901311,183.3273522488,7.343914353,15.3452948817,2.4173966391,4428.4008732524,242.7604816179,61.0352479055,32.0952557514
"SRV00348","1654-18","SRVp008","sample",1095.7857137419,709.8126119927,126.8692012027,41.7015082702,51.3388386646,5.0875295188,466.6129489299,266.1831463508,5.0418299345,5.9506310541,2.1064745956,800.427956659,232.8980930323,41.7273661781,51.5425342475
"SRV00300","1640-26","SRVp008","sample",103.3389392609,1233.5133609436,854.8693125809,2.5789186671,24.1935844459,9.437431577,23.7165946598,26.9001686211,3.7254624163,4.6342335754,2.7548897496,67.8969172547,485.0911611318,264.3800292549,29.6986814513
"SRV00227","1610-10","SRVp008","sample",26.4478691132,1108.8905861111,114.3743296031,1.4899561701,109.1649863191,7.8827801643,120.8731170519,493.5455486656,10.454833028,8.6672137192,3.9051320329,41.2976587633,304.30171918,28.3450866907,76.3579246943
"SRV00282","1633-10","SRVp008","sample",35.0396066898,532.5264522616,67.0696960296,NA,53.8981771327,8.711245121,85.3837344172,89.2612663787,9.579951306,11.2322146907,1.525812709,13.6767097576,131.6762800164,10.6929880225,11.5344679098
"SRV00340","1649-26","SRVp008","sample",426.3306927912,1528.5938686269,221.3979873297,20.2182874999,84.944974058,6.2008271668,141.9214889166,346.6165378442,1.7161080654,6.1901397064,2.6789653883,582.0856370024,697.5408139322,82.8353736563,57.7287623457
