"Compound","Timepoint","N_Obs","EMM_Log","SE_Log","DF","CI_Lower_Log","CI_Upper_Log","EMM","CI_Lower","CI_Upper","Order","Timepoint_Order"
"GCA","2",32,5.2998611731795,0.137543487447919,70.0606424568811,5.02554351179616,5.57417883456284,200.308999782879,152.252984921897,263.533062518283,1,1
"GCA","18",32,5.49355025458858,0.137543487447919,70.060642459163,5.21923259320539,5.76786791597176,243.118810168779,184.792318762436,319.855047297009,1,2
"GCA","23",32,5.80510203943901,0.137543487447919,70.0606424591685,5.53078437805583,6.07941970082219,331.989067593478,252.341764760151,436.775660605953,1,3
"GCA","26",30,5.80897054143912,0.140361818133498,73.7168092605134,5.52927566047961,6.08866542239863,333.275855331182,251.961339353853,440.832692950329,1,4
"TCA","2",32,3.27637789098719,0.173808265095584,54.7683314783397,2.92802522363222,3.62473055834216,26.4796864764949,18.690684106979,37.5146137979857,2,1
"TCA","18",32,3.5702188541407,0.173808265095584,54.7683314808627,3.22186618678609,3.91857152149531,35.5243669557368,25.0748709377548,50.3285002239316,2,2
"TCA","23",32,3.93070302666645,0.173808265095584,54.7683314808724,3.58235035931184,4.27905569402105,50.9427792152573,35.9579557216242,72.1722551266667,2,3
"TCA","26",30,3.88821475443688,0.176424262551234,57.4058977061336,3.53498539103181,4.24144411784196,48.8236464762013,34.2945137031093,69.5081573650355,2,4
"GCDCA","2",32,6.52821438316114,0.134020323226355,66.4658496653692,6.26066917539264,6.79575959092965,684.175444925225,523.569182521415,894.048112580582,3,1
"GCDCA","18",32,6.82096776245374,0.134020323226355,66.4658496655227,6.55342255468524,7.08851297022223,916.871895059863,701.641475346757,1198.12482797601,3,2
"GCDCA","23",32,7.02228369900787,0.134020323226355,66.4658496667307,6.75473849123947,7.28982890677628,1121.34450925092,858.115315871368,1465.31996943833,3,3
"GCDCA","26",30,7.02030816472983,0.136610206152946,69.940601895455,6.74784363157915,7.29277269788051,1119.13144145081,852.219081409089,1469.63992072662,3,4
"TCDCA","2",32,4.48409715406036,0.168140615032103,59.6898919901364,4.14772990503188,4.82046440308885,88.5969253187621,63.290162417833,124.022673920751,4,1
"TCDCA","18",32,4.90476489703734,0.168140615032103,59.6898919884002,4.56839764800865,5.24113214606603,134.931183556456,96.389536000166,188.883825479923,4,2
"TCDCA","23",32,5.29779769495793,0.168140615032103,59.6898919888775,4.9614304459293,5.63416494398657,199.896092683158,142.797914567428,279.825150045349,4,3
"TCDCA","26",30,5.13575701734776,0.171001325484509,62.7340317117155,4.79400978067933,5.4775042540162,169.992958796398,120.784719184145,239.248857268919,4,4
"CA","2",32,4.57639438007773,0.269143026915195,65.9297643073248,4.03902230365753,5.11376645649792,97.1634274711485,56.7708110489732,166.295521651031,5,1
"CA","18",32,5.35305912733006,0.269143026915195,65.9297643052641,4.81568705090955,5.89043120375057,211.253561935878,123.431586968684,361.561157290462,5,2
