"Compound","Compound_Name","Class","Result_Family","N_Obs","N_Subjects","LFC_23_vs_2","SE_23_vs_2","DF_23_vs_2","P_23_vs_2","LFC_23_vs_18","SE_23_vs_18","DF_23_vs_18","P_23_vs_18","LFC_23_vs_26","SE_23_vs_26","DF_23_vs_26","P_23_vs_26","Order","Q_23_vs_2","Q_23_vs_18","Q_23_vs_26","Sig_23_vs_2","Sig_23_vs_18","Sig_23_vs_26","Fold_23_vs_2","Fold_23_vs_18","Fold_23_vs_26"
"GCA","Glycocholic Acid (GCA)","Primary Conjugated","Individual BA",126,32,0.505240866259509,0.137055616927319,91.1506744683985,0.000386033607503701,0.311551784850431,0.137055616927319,91.1506744681998,0.0253647333281045,-0.00386850200011002,0.139883777407294,91.6015291449267,0.977997384076896,1,0.00217143904220832,0.071338312485294,0.988086923628962,"**","ns","ns",1.65738468043538,1.36554249900698,0.99613897101419
"TCA","Taurocholic Acid (TCA)","Primary Conjugated","Individual BA",126,32,0.654325135679255,0.146443341836947,90.9208276154728,2.26697124134727e-05,0.360484172525746,0.146443341836947,90.9208276122432,0.0157186194057228,0.042488272229565,0.149538823619763,91.2109959367255,0.776955761709304,2,0.000215891660005792,0.0475610567305884,0.871390062222339,"***","*","ns",1.92384374567567,1.43402356131305,1.04340381950146
"GCDCA","Glycochenodeoxycholic Acid (GCDCA)","Primary Conjugated","Individual BA",126,32,0.494069315846727,0.129263495565045,91.1706175072534,0.000241484725757658,0.201315936554136,0.129263495565045,91.1706175083715,0.122838447644093,0.00197553427803876,0.131946779699803,91.5822826612906,0.988086923628962,3,0.00155240180844209,0.240336093216704,0.988086923628962,"**","ns","ns",1.63897216359976,1.22301110470586,1.00197748693151
"TCDCA","Taurochenodeoxycholic Acid (TCDCA)","Primary Conjugated","Individual BA",126,32,0.813700540897567,0.151282761890778,90.9587236220762,5.77909940713652e-07,0.393032797920589,0.151282761890778,90.9587236206933,0.0109375121704824,0.162040677610169,0.154456016196803,91.3019838266755,0.296898619126161,4,1.30029736660572e-05,0.0402411935716976,0.477158495024187,"***","*","ns",2.25624187254753,1.48146697756875,1.17590807347835
"CA","Cholic Acid (CA)","Primary Unconjugated","Individual BA",126,32,0.429266101324123,0.259466830815808,90.7992476081535,0.101495992829874,-0.34739864592821,0.259466830815808,90.7992476068305,0.183947530755338,-0.0894657926512525,0.264853345610639,91.2136561840909,0.736294832268885,5,0.228365983867216,0.331105555359608,0.849570960310252,"ns","ns","ns",1.53612974617505,0.706523619346388,0.914419544457569
"CDCA","Chenodeoxycholic Acid (CDCA)","Primary Unconjugated","Individual BA",126,32,0.0711477794646404,0.271581876615135,90.8932247193746,0.793933167802576,-0.276644988786199,0.271581876615135,90.8932247176579,0.311076201505413,-0.013985636669178,0.277127053325359,91.4146253742989,0.95986073959557,6,0.871390062222339,0.480884298287278,0.988086923628962,"ns","ns","ns",1.07373989085059,0.758323662733235,0.986111708009832
"GDCA","Glycodeoxycholic Acid (GDCA)","Secondary Conjugated","Individual BA",121,31,0.15441645757023,0.154568351050237,85.9828069019596,0.320589532191518,0.178287626495891,0.154568351050237,85.9828069027882,0.251920016294045,0.108279596864069,0.154395727766699,85.9047670888153,0.485003764337835,7,0.480884298287278,0.436015412816617,0.623576268434359,"ns","ns","ns",1.16697678190917,1.19516903408324,1.11435927319157
"TDCA","Taurodeoxycholic Acid (TDCA)","Secondary Conjugated","Individual BA",120,31,0.600343831049831,0.164122492724812,80.2392182360026,0.000453181426818609,0.458436313320826,0.163798489878663,80.8630116424841,0.00641132035380591,0.267069652357068,0.165952818107431,80.3421342050386,0.111470987335299,8,0.00226590713409305,0.0262281287201151,0.237696325182583,"**","*","ns",1.82274540912816,1.58159892521864,1.30613141829434
"GLCA","Glycolithocholic Acid (GLCA)","Secondary Conjugated","Individual BA",124,32,0.611008936859902,0.135976771910422,88.3760599247446,2.11332638681426e-05,0.606491050656275,0.135976771910422,88.3760599267862,2.39879622228658e-05,0.770303944269469,0.137455754802994,88.4792362937572,2.34117429285461e-07,9,0.000215891660005792,0.000215891660005792,1.05352843178457e-05,"***","***","***",1.84228921490998,1.83398473535508,2.16042280213314
"TLCA","Taurolithocholic Acid (TLCA)","Secondary Conjugated","Individual BA",121,32,0.465480157616046,0.180491979552374,85.2707158889298,0.0116252336984904,0.578862471919797,0.177647536873247,85.5522522371583,0.00160760615012435,0.31691010155626,0.184210459776482,86.2561549692313,0.0889510156329777,10,0.0402411935716976,0.00723422767555956,0.210673458078105,"*","**","ns",1.59277879017462,1.78400791698494,1.37287914667894
"DCA","Deoxycholic Acid (DCA)","Secondary Unconjugated","Individual BA",121,31,-0.334470065653794,0.170723850198047,85.9980795647438,0.0533374970795869,-0.136296686839919,0.170723850198047,85.9980795628958,0.42686895519253,0.165956428617139,0.170541449194972,85.905975771791,0.333228331389258,11,0.141187492269495,0.564973617166584,0.483718545565052,"ns","ns","ns",0.715717269035757,0.87258370997769,1.18052166364129
"LCA","Lithocholic Acid (LCA)","Secondary Unconjugated","Individual BA",120,31,-0.0998045500845287,0.0920462935821239,85.4279407871899,0.281288424622903,0.229177452338705,0.0931172979694283,85.7062022398444,0.0158536855768628,0.396117351541028,0.093604316350054,85.436209953081,5.80555473377732e-05,12,0.468814041038171,0.0475610567305884,0.000435416605033299,"ns","*","***",0.905014285716654,1.25756517709282,1.48604369683721
