"Compound","N_Obs","Xlsx_Post_p","R_Asymptotic_Post_p","R_Satterthwaite_Post_p","R_KenwardRoger_Post_p","Xlsx_Fold_23_vs_Fasting","R_Satterthwaite_log10_diff","R_Satterthwaite_Fold","Xlsx_Post_FDR_q","R_Asymptotic_FDR_q","R_Satterthwaite_FDR_q","R_KenwardRoger_FDR_q","Xlsx_Sig","R_Satterthwaite_Sig"
"CDCA",126,0.742297025347626,0.742296892292325,0.743052545194424,0.743061414829679,0.929449085042197,-0.0317743955623659,0.929449085485024,0.795318241443885,0.795318098884634,0.796127726994026,0.796137230174656,"ns","ns"
"GCDCA",126,0.0281556157282377,0.0281557139849415,0.0306933612872458,0.0307031875014779,1.26173510898022,0.100968187884245,1.26173510897828,0.0527917794904456,0.0527919637217653,0.0575500524135859,0.057568476565271,"ns","ns"
"TCDCA",126,0.00023264925658939,0.000232585945045186,0.000393872088536852,0.000393909449673451,1.57814829597573,0.198147810670905,1.57814829578824,0.00174486942442043,0.00174439458783889,0.00295404066402639,0.00295432087255088,"**","**"
"UDCA",103,0.388438735637476,0.388438814398442,0.391357027543263,0.391840440195994,0.856379414711256,-0.0673337803109404,0.856379415361133,0.485548419546845,0.485548517998052,0.489196284429078,0.489800550244993,"ns","ns"
"GUDCA",126,0.255473544865949,0.255473431220117,0.258457262878214,0.258462834984622,0.895490835842276,-0.0479388542315539,0.895490835815627,0.348373015726294,0.348372860754705,0.352441722106655,0.352449320433575,"ns","ns"
"TUDCA",125,0.184363631628245,0.184363497534524,0.187729765824299,0.18772947803937,1.1634488923578,0.0657473105648607,1.1634488925826,0.307272719380409,0.307272495890873,0.312882943040498,0.312882463398949,"ns","ns"
"DCA",121,0.463851944423849,0.463852081636269,0.465845059387805,0.465845361968111,0.903387126042959,-0.0441261021427106,0.903387127324589,0.535213782027518,0.535213940349542,0.537513530062852,0.537513879193974,"ns","ns"
"GDCA",121,0.241814992753061,0.241814871339189,0.245050434493117,0.245031374966418,1.1583351836176,0.0638342479533816,1.15833518366956,0.348373015726294,0.348372860754705,0.352441722106655,0.352449320433575,"ns","ns"
"LCA",120,0.021006487842655,0.0210065410484558,0.0234211331395132,0.0234194301029452,1.19136463190737,0.0760447029220032,1.19136463159631,0.045013902519975,0.0450140165324052,0.050188142441814,0.0501844930777397,"*","ns"
"GLCA",124,2.1196624455655e-09,2.11215443336441e-09,4.462210163602e-08,4.37748167588101e-08,1.93984553380257,0.287767148997808,1.93984553260325,3.17949366834824e-08,3.16823165004662e-08,6.69331524540299e-07,6.56622251382152e-07,"***","***"
"TLCA",121,0.00202538939643526,0.00202525220743361,0.00272953722061288,0.00272119549599158,1.57281573685197,0.196677846310675,1.5728157385007,0.00759521023663223,0.00759469577787605,0.0102357645772983,0.0102044831099684,"**","*"
"CA",126,0.990485704353678,0.990485757633713,0.990511898799585,0.990512143525789,0.997468119947848,-0.00110097593184079,0.997468119860549,0.990485704353678,0.990485757633713,0.990511898799585,0.990512143525789,"ns","ns"
"GCA",126,0.0158193958533548,0.0158194025834034,0.0178188848605885,0.0178259815015861,1.31123554337522,0.117680713076504,1.31123554346255,0.039548489633387,0.0395485064585085,0.0445472121514711,0.0445649537539653,"*","*"
"TCA",126,0.00331421343894966,0.00331407645766612,0.00419759106508033,0.00419757019639316,1.42251579097418,0.15305709625864,1.42251579154999,0.00994264031684899,0.00994222937299836,0.012592773195241,0.0125927105891795,"**","*"
"TDCA",120,0.000991714774081887,0.000991597105438618,0.00147576922907847,0.00144014971780169,1.55582969227741,0.19196205577073,1.55582969311162,0.00495857387040943,0.00495798552719309,0.00737884614539235,0.00720074858900845,"**","**"
