"Compound","N_Obs","LFC_23_vs_2","P_23_vs_2","LFC_23_vs_18","P_23_vs_18","LFC_23_vs_26","P_23_vs_26","Q_23_vs_2","Q_23_vs_18","Q_23_vs_26","Sig_23_vs_2","Sig_23_vs_18","Sig_23_vs_26"
"CDCA",126,0.0711477794646404,0.793932410054268,-0.276644988786199,0.311072749899545,-0.013985636669178,0.959869839431038,0.871389230547367,0.480879810108788,0.98808919606802,"ns","ns","ns"
"GCDCA",126,0.494069315846727,0.000241723696938521,0.201315936554136,0.122844705062177,0.00197553427803876,0.98808919606802,0.00155393805174764,0.240348335991215,0.98808919606802,"**","ns","ns"
"TCDCA",126,0.813700540897567,5.77420138253044e-07,0.393032797920589,0.0109367112623447,0.162040677610169,0.296972103204587,1.29919531106935e-05,0.0401747028431867,0.477276594435943,"***","*","ns"
"UDCA",103,-0.183990194007358,0.411505640307031,-0.191599768280443,0.382486593309045,-0.089542035249166,0.69161837671598,0.561144054964133,0.537871771840845,0.819021761900502,"ns","ns","ns"
"GUDCA",126,-0.0771920750780599,0.516262741071662,-0.0620262105884155,0.601809380179899,-0.191930517381689,0.116228751389266,0.645328426339577,0.731930327245824,0.23774062784168,"ns","ns","ns"
"TUDCA",125,0.193717693434033,0.171065863549059,0.251584312948152,0.0735295927031656,0.00890803696571815,0.950092793624819,0.320748494154486,0.183823981757914,0.98808919606802,"ns","ns","ns"
"DCA",121,-0.334470065653794,0.0533131461321473,-0.136296686839919,0.42687822377112,0.165956428617139,0.333212079951508,0.141123033879213,0.564985884402953,0.483694954768318,"ns","ns","ns"
"GDCA",121,0.15441645757023,0.320586540072525,0.178287626495891,0.251911030333381,0.108279596864069,0.484993915474537,0.480879810108788,0.43599986019239,0.623563605610119,"ns","ns","ns"
"LCA",120,-0.0998045500845287,0.281316240524791,0.229177452338705,0.0158589874287819,0.396117351541028,5.77068008544384e-05,0.468860400874652,0.0475769622863459,0.000432801006408288,"ns","*","***"
"GLCA",124,0.611008936859902,2.09846367700694e-05,0.606491050656275,2.38236074243596e-05,0.770303944269469,2.30911241218451e-07,0.000214412466819236,0.000214412466819236,1.03910058548303e-05,"***","***","***"
"TLCA",121,0.465480157616046,0.0116060252658095,0.578862471919797,0.00159955981777515,0.31691010155626,0.0890839221245807,0.0401747028431867,0.00719801917998819,0.210988236610849,"*","**","ns"
"CA",126,0.429266101324123,0.101488158845284,-0.34739864592821,0.183939961306597,-0.0894657926512525,0.736340204743427,0.228348357401889,0.331091930351874,0.849623313165493,"ns","ns","ns"
"GCA",126,0.505240866259509,0.000386327933549802,0.311551784850431,0.0253684874047183,-0.00386850200011002,0.978001928244592,0.00217309462621764,0.0713488708257701,0.98808919606802,"**","ns","ns"
"TCA",126,0.654325135679255,2.26507781211704e-05,0.360484172525746,0.0157168809368892,0.042488272229565,0.776983971818757,0.000214412466819236,0.0475769622863459,0.871389230547367,"***","*","ns"
"TDCA",120,0.600343831049831,0.000437398559957308,0.458436313320826,0.0063344592503069,0.267069652357068,0.111224696167138,0.00218699279978654,0.0259136969330737,0.23774062784168,"**","*","ns"
"Total_BA",126,0.42382716227609,0.00170813595896758,0.0851404924944587,0.517705247230645,0.0626390461078563,0.640806859643827,0.0068325438358703,0.776557870845967,0.85440914619177,"**","ns","ns"
"Glycine_Conjugated",126,0.414646577690681,0.00168765142239385,0.217305704710543,0.0932600805607171,0.0119535085291314,0.927379206675445,0.0068325438358703,0.223824193345721,0.927379206675445,"**","ns","ns"
"Taurine_Conjugated",126,0.712676606256779,3.71724624763822e-06,0.387963781275846,0.00868297214613408,0.142798852385759,0.336134918981164,4.46069549716586e-05,0.0260489164384022,0.576231289681995,"***","*","ns"
"Unconjugated",126,0.0449327445098394,0.841787701857606,-0.254096662446972,0.260600852664859,0.0559621666298403,0.807564226022802,0.918313856571934,0.521201705329717,0.918313856571934,"ns","ns","ns"
