"Compound","Timepoint","N_Obs","EMM_Log","SE_Log","DF","CI_Lower_Log","CI_Upper_Log","EMM","CI_Lower","CI_Upper","Order","Timepoint_Order"
"GCA","2",32,5.29986117317953,0.15044825377399,54.7010494210655,4.99831909341225,5.60140325294681,200.308999782884,148.163899995059,270.806150454716,1,1
"GCA","18",32,5.49355025458859,0.15044825377399,54.7010494219979,5.19200817482143,5.79509233435576,243.118810168783,179.829319280778,328.682531270655,1,2
"GCA","26",30,5.80255939988974,0.153266597726212,57.3759299264178,5.49569190686856,6.10942689291093,331.146011308614,243.640044074547,450.080696800615,1,3
"TCA","2",32,3.27637789098719,0.183147730952076,48.6947295478121,2.90827037470005,3.64448540727434,26.4796864764949,18.3250756260994,38.2630778830089,2,1
"TCA","18",32,3.5702188541407,0.183147730952076,48.6947295566044,3.20211133785524,3.93832637042615,35.5243669557367,24.5843813752153,51.3326175812624,2,2
"TCA","26",30,3.88647966848048,0.185975978245553,50.9567705841467,3.51310962218629,4.25984971477467,48.7390067027354,33.5524411454928,70.7993425595619,2,3
"GCDCA","2",32,6.5282143831611,0.146538928548748,52.1844002779058,6.2341872410561,6.82224152526609,684.175444925191,509.886035557369,918.040516498743,3,1
"GCDCA","18",32,6.82096776245371,0.146538928548748,52.184400262421,6.52694062034665,7.11499490456077,916.871895059839,683.304522476955,1230.2773423821,3,2
"GCDCA","26",30,7.01805749636356,0.149079555897861,54.6977446891756,6.71925827737922,7.3168567153479,1116.61548007722,828.202986716336,1505.46442158042,3,3
"TCDCA","2",32,4.48409715406034,0.177368526033222,53.2889171116487,4.12838596348273,4.83980834463795,88.5969253187601,62.077646443305,126.445115523295,4,1
"TCDCA","18",32,4.90476489703733,0.177368526033222,53.2889171215892,4.54905370646126,5.2604760876134,134.931183556454,94.5429006353286,192.573151168394,4,2
"TCDCA","26",30,5.13916966265393,0.180568422881773,55.8904340240633,4.7774319965278,5.50090732878007,170.574075477894,118.798882049652,244.914049047851,4,3
"CA","2",32,4.57639438007774,0.258693383774643,62.794890034467,4.05940385519533,5.09338490496015,97.1634274711496,57.9397602942637,162.940467651124,5,1
"CA","18",32,5.35305912733007,0.258693383774643,62.7948900253244,4.83606860244618,5.87004965221395,211.253561935879,125.973126498553,354.266569950607,5,2
"CA","26",30,5.08845834944192,0.264617538109816,65.7534677517274,4.56009541213598,5.61682128674786,162.139706507792,95.5926000891265,275.013802343715,5,3
"CDCA","2",32,5.08030888110558,0.253277076678373,68.4245627880597,4.57495912001874,5.58565864219241,160.823723667069,97.0240727135861,266.575803001928,6,1
"CDCA","18",32,5.42810164935642,0.253277076678373,68.4245627969319,4.92275188827076,5.93345141044208,227.71654899184,137.380148299733,377.455020441653,6,2
"CDCA","26",30,5.15691124702447,0.259640659405169,71.273890351457,4.63923694974795,5.674585544301,173.627334568758,103.465368179218,291.367554573749,6,3
"GDCA","2",30,5.28415966676164,0.236396594608086,37.8701292050712,4.80554587937972,5.76277345414356,197.188409830372,122.186171731349,318.229701614055,7,1
"GDCA","18",30,5.26028849783598,0.236396594608086,37.8701292038549,4.78167471045355,5.73890228521841,192.537029801935,119.303982461487,310.723138323721,7,2
"GDCA","26",30,5.31603058748631,0.236109479917485,37.7701491602664,4.83795639385609,5.79410478111652,203.574206086147,126.211162094723,328.358099995164,7,3
"TDCA","2",30,3.36847791716376,0.231690742520514,38.1707826333077,2.899513435523,3.83744239880452,29.0343007974135,18.1653046268764,46.4066328701937,8,1
"TDCA","18",31,3.50457304031234,0.229862990302692,37.1891720216548,3.03890633836049,3.97023974226418,33.2672370506133,20.8823924702821,52.9972349938669,8,2
"TDCA","26",29,3.71431146063957,0.233289312754963,39.1344480923584,3.24249111264798,4.18613180863115,41.0303263615279,25.5974084169458,65.7678954803488,8,3
"GLCA","2",31,1.9026840972022,0.180770212328519,45.322747490562,1.53866574700135,2.26670244740306,6.70386413826299,4.65837067760982,9.64753504917474,9,1
"GLCA","18",31,1.92595787899694,0.180770212328519,45.3227474823281,1.56193952879428,2.28997622919961,6.86171821474128,4.76806007255932,9.87470294879061,9,2
"GLCA","26",30,1.76903853527227,0.182050903266644,46.3588468795473,1.4026656037719,2.13541146677264,5.86521145563525,4.0660239429788,8.46052701650173,9,3
"TLCA","2",30,0.714476099421754,0.152850966393941,81.5160482004064,0.410379805649966,1.01857239319354,2.04311601216051,1.50739019171586,2.76923855686963,10,1
