"Compound","Compound_Name","Class","Result_Family","N_Obs","N_Subjects","NumDF_Timepoint","DenDF_Timepoint","F_Timepoint","P_Timepoint","Order","Q_Timepoint","Sig_Timepoint"
"GCA","Glycocholic Acid (GCA)","Primary Conjugated","Individual BA",94,32,2,60.4278690635813,6.52022788076558,0.00272872120071422,1,0.00818616360214266,"**"
"TCA","Taurocholic Acid (TCA)","Primary Conjugated","Individual BA",94,32,2,60.1096842231874,7.94835990349588,0.000865444236959825,2,0.00432722118479913,"**"
"GCDCA","Glycochenodeoxycholic Acid (GCDCA)","Primary Conjugated","Individual BA",94,32,2,60.4189752935068,7.17786534475005,0.00159648406666397,3,0.00598681524998987,"**"
"TCDCA","Taurochenodeoxycholic Acid (TCDCA)","Primary Conjugated","Individual BA",94,32,2,60.2918416756346,8.52086866419988,0.000550728775293615,4,0.00413046581470211,"**"
"CA","Cholic Acid (CA)","Primary Unconjugated","Individual BA",94,32,2,59.9126694377376,4.42306601682676,0.01615558813403,5,0.040388970335075,"*"
"CDCA","Chenodeoxycholic Acid (CDCA)","Primary Unconjugated","Individual BA",94,32,2,60.1886024275925,0.875353613323745,0.421951668600171,6,0.575388639000233,"ns"
"GDCA","Glycodeoxycholic Acid (GDCA)","Secondary Conjugated","Individual BA",90,31,2,54.8593636055271,0.063026936169766,0.93898606852354,7,0.93898606852354,"ns"
"TDCA","Taurodeoxycholic Acid (TDCA)","Secondary Conjugated","Individual BA",90,31,2,51.5178263002147,1.94499551657607,0.153345237016375,8,0.287522319405703,"ns"
"GLCA","Glycolithocholic Acid (GLCA)","Secondary Conjugated","Individual BA",92,32,2,56.885444773936,0.696169430719804,0.502687707329848,9,0.592258217999986,"ns"
"TLCA","Taurolithocholic Acid (TLCA)","Secondary Conjugated","Individual BA",90,32,2,57.5825208478561,0.995070163202537,0.375964409160881,10,0.563946613741322,"ns"
"DCA","Deoxycholic Acid (DCA)","Secondary Unconjugated","Individual BA",90,31,2,54.3782970892079,3.99074695537187,0.0241443396577004,11,0.0517378706950723,"ns"
"LCA","Lithocholic Acid (LCA)","Secondary Unconjugated","Individual BA",90,31,2,56.9819484309971,12.2607427166124,3.7273702476651e-05,12,0.000559105537149765,"***"
"UDCA","Ursodeoxycholic Acid (UDCA)","Tertiary / Microbial","Individual BA",76,29,2,44.2880179956624,0.226938828755467,0.797890552966904,13,0.854882735321683,"ns"
"GUDCA","Glycoursodeoxycholic Acid (GUDCA)","Tertiary / Microbial","Individual BA",94,32,2,60.1131269346767,0.674367373918071,0.513290455599988,14,0.592258217999986,"ns"
"TUDCA","Tauroursodeoxycholic Acid (TUDCA)","Tertiary / Microbial","Individual BA",93,32,2,58.5194398322738,1.41533024711808,0.251034506362804,15,0.418390843938006,"ns"
"Total_BA","Total Bile Acids","Aggregate Total Pool","Aggregate class",94,32,2,60.7030898727291,4.17317633065209,0.0200377942940398,16,0.0267170590587198,"*"
"Glycine_Conjugated","Glycine-Conjugated Bile Acids","Aggregate Glycine Conjugates","Aggregate class",94,32,2,60.3109788821244,4.85252631397041,0.01111451943063,17,0.02222903886126,"*"
"Taurine_Conjugated","Taurine-Conjugated Bile Acids","Aggregate Taurine Conjugates","Aggregate class",94,32,2,59.9839847105241,7.06699814837986,0.00175423497105425,18,0.00701693988421699,"**"
"Unconjugated","Unconjugated Bile Acids","Aggregate Unconjugated Pool","Aggregate class",94,32,2,60.346007629948,1.15050734837919,0.323319322117701,19,0.323319322117701,"ns"
