"Compound","Compound_Name","Class","Result_Family","N_Obs","N_Subjects","LFC_18_vs_2","SE_18_vs_2","DF_18_vs_2","P_18_vs_2","LFC_26_vs_2","SE_26_vs_2","DF_26_vs_2","P_26_vs_2","LFC_26_vs_18","SE_26_vs_18","DF_26_vs_18","P_26_vs_18","Order","Q_18_vs_2","Q_26_vs_2","Q_26_vs_18","Sig_18_vs_2","Sig_26_vs_2","Sig_26_vs_18","Fold_18_vs_2","Fold_26_vs_2","Fold_26_vs_18"
"GCA","Glycocholic Acid (GCA)","Primary Conjugated","Individual BA",94,32,0.193689081409066,0.136939063546175,60.1270114676442,0.162396860453531,0.502698226710215,0.140029568448342,60.5857150404851,0.000662950638072632,0.309009145301149,0.140029568448342,60.5857150380285,0.031132320369466,1,0.335437315957981,0.00596655574265369,0.127359492420543,"ns","**","ns",1.21371885652817,1.6531759015698,1.36207482703094
"TCA","Taurocholic Acid (TCA)","Primary Conjugated","Individual BA",94,32,0.293840963153502,0.149571646795707,59.8737594031048,0.0541124727649323,0.610101777493284,0.153021732628657,60.2334370770056,0.000183483999054642,0.316260814339782,0.153021732628657,60.2334370743809,0.0430621360440594,2,0.178049887848451,0.00275225998581962,0.161483010165223,"ns","**","ns",1.34157052755403,1.84061872280849,1.37198804312162
"GCDCA","Glycochenodeoxycholic Acid (GCDCA)","Primary Conjugated","Individual BA",94,32,0.292753379292613,0.127641509333138,60.1471152592503,0.0253251334713382,0.489843113202463,0.13055041674131,60.5615917154892,0.000394900251337252,0.197089733909849,0.13055041674131,60.5615917285961,0.136324386956985,3,0.113963100621022,0.00444262782754408,0.322873548056018,"ns","**","ns",1.3401122502432,1.63206015117849,1.21785331854277
"TCDCA","Taurochenodeoxycholic Acid (TCDCA)","Primary Conjugated","Individual BA",94,32,0.420667742976984,0.158009935819499,60.0049613008262,0.00994684466207988,0.65507250859359,0.161593629616069,60.4423510599848,0.000146306405794352,0.234404765616605,0.161593629616069,60.4423510554066,0.152066417210747,4,0.0497342233103994,0.00275225998581962,0.335437315957981,"*","**","ns",1.5229781741408,1.92528211181359,1.26415607557853
"CA","Cholic Acid (CA)","Primary Unconjugated","Individual BA",94,32,0.776664747252328,0.265270449384649,59.5107755988711,0.00482988700206512,0.512063969364185,0.271050891869514,60.1236242345552,0.0636930259495531,-0.264600777888144,0.271050891869514,60.1236242465271,0.332875288817598,5,0.0310492735847043,0.191079077848659,0.497837814886768,"*","ns","ns",2.17420862390436,1.66873185444117,0.767512296701559
"CDCA","Chenodeoxycholic Acid (CDCA)","Primary Unconjugated","Individual BA",94,32,0.347792768250843,0.275518484230613,59.7267692783562,0.211740089785286,0.0766023659188945,0.281379511689005,60.4310270905343,0.786366580764004,-0.271190402331949,0.281379511689005,60.4310270859154,0.338992847700114,6,0.414274088710343,0.884662403359504,0.497837814886768,"ns","ns","ns",1.41593879186164,1.07961270022695,0.762471306268476
"GDCA","Glycodeoxycholic Acid (GDCA)","Secondary Conjugated","Individual BA",90,31,-0.0238711689256602,0.155770807764673,54.5346813146755,0.878770351229153,0.0318709207246664,0.157402227646761,55.0262083948043,0.840287705078785,0.0557420896503265,0.157402227646761,55.0262083976166,0.724589036542446,7,0.916214932772122,0.916214932772122,0.836064272933592,"ns","ns","ns",0.976411493797033,1.03238423729502,1.05732495351967
"TDCA","Taurodeoxycholic Acid (TDCA)","Secondary Conjugated","Individual BA",90,31,0.136095123148582,0.173898618746479,51.5666746774772,0.437434348938968,0.345833543475811,0.176409555137664,51.2713104776527,0.0553932984417404,0.209738420327228,0.176022819196573,51.7162755782274,0.238880846309745,8,0.57895722653687,0.178049887848451,0.429985523357541,"ns","ns","ns",1.14579087964732,1.413167365311,1.23335539705638
"GLCA","Glycolithocholic Acid (GLCA)","Secondary Conjugated","Individual BA",92,32,0.0232737817947417,0.141343073635974,56.7730741573503,0.869795191595113,-0.133645561929934,0.1430206636282,56.9430624848268,0.354018001697257,-0.156919343724675,0.1430206636282,56.9430624906921,0.277181093890766,9,0.916214932772122,0.497837814886768,0.46344734193463,"ns","ns","ns",1.02354672965064,0.874900107560199,0.85477299884376
"TLCA","Taurolithocholic Acid (TLCA)","Secondary Conjugated","Individual BA",90,32,-0.118702639186787,0.191221129682105,57.3630382965067,0.537215588771902,0.156519791357332,0.197651025565269,56.9970293009204,0.431702642534198,0.275222430544119,0.195262897489444,58.3988581453225,0.163991576690568,10,0.675819812512377,0.57895722653687,0.335437315957981,"ns","ns","ns",0.888071839266968,1.16943390677434,1.3168235440723
