"Compound","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC1_PC2_Magnitude"
"CDCA",-0.150473036230578,0.379720401704446,0.36062520768513,0.257972975670334,0.0854935948431161,-0.21184926471339,-0.0689551810749664,0.0855600254504855,0.251225426037563,0.328329819371511,-0.300426592278687,-0.542594254825298,0.096764951089061,-0.028809679726008,-0.0808225434688345,0.408447938057024
"GCDCA",-0.375880853159182,-0.078829218634081,0.0770149490552952,-7.82948239096554e-05,-0.125171981418514,0.308671839800035,-0.0905509223651155,-0.0181330501583519,-0.0063041930083845,0.461125332151453,-0.223930032172947,0.283159003953731,0.0664598622901915,0.196397799292944,0.584041624244145,0.384057888191526
"TCDCA",-0.298047129331974,-0.288597491847478,0.146319551704218,0.229615594885217,0.204234882660467,-0.0935665664815285,-0.047356677082736,-0.201802114426523,0.134521243711943,0.341123726568804,0.108592834417462,0.423782180617009,-0.0273723511402722,-0.281985780782493,-0.504185479320169,0.414874202142873
"UDCA",-0.183177092637436,0.373466129387136,0.326541152800896,-0.261593677695404,0.0834671732386004,-0.0471382580954187,-0.213101860783146,0.112548806233851,0.304181350844695,-0.172795197832746,0.31864423057046,0.227444236431241,-0.538574663823318,0.113804260773794,0.0773099332043706,0.415969706909665
"GUDCA",-0.312366162873194,0.0097957474319952,0.100407101359205,-0.454505584796388,-0.112635853667018,0.297948154475962,-0.227427763288088,0.115320554667407,-0.125387371392354,0.0725747106825514,0.399405530644199,-0.25801743680596,0.457088148330292,-0.0259811870098865,-0.250001800627159,0.312519721579094
"TUDCA",-0.272618420073734,-0.195586176754129,0.150111554546613,-0.338529759960798,0.352206257034473,-0.187492790219548,-0.248554410711113,-0.388694093780286,-0.222232498519945,-0.344391966614633,-0.444179028269516,-0.098701700420476,-0.0131331506052347,-0.00971466845419151,0.0541034240512028,0.335521617039493
"DCA",-0.169301858661414,0.462175175762977,-0.0931943823658146,-0.120801065502422,-0.085986238583896,-0.3252631696901,0.242146917551001,0.0452599844183956,0.092348871101769,-0.185686909099709,-0.174140094124309,0.466091644578539,0.514638183835848,0.0405658994768864,-0.0592228873407088,0.492208301878126
"GDCA",-0.33017014219296,0.137216137781145,-0.218180812771183,-0.205647583118323,-0.284447576468408,-0.0494204053473843,0.303559930584305,0.0267274071169812,-0.166614751525866,0.076949900953586,-0.0858050959416661,-0.134026539620712,-0.333120575868218,-0.655988127642095,0.0758465232729923,0.357548026512934
"LCA",-0.0206835989066037,0.238722208063621,-0.311587802441449,-0.0730946079495914,0.802137329125647,0.189579000945184,0.176898206523298,0.237619215854856,-0.175139338332284,0.196206275159569,0.0470771130879428,0.00121379108647951,-0.0237778469306835,-0.00678154103994192,0.0321552914552693,0.239616576819093
"GLCA",-0.169117995051912,0.240359436819184,-0.483340878165377,0.173408515701671,-0.0106960046030963,0.354829028382196,-0.149610191253124,-0.527400070056393,0.423210753753056,-0.155288228844992,0.020069703702676,-0.129519820591465,0.0057260545845229,0.0182845328005906,-0.0511700601426367,0.293893782034282
"TLCA",-0.223904885225328,0.0829602443276337,-0.366169978503041,0.349654886391558,-0.0861509584164303,-0.273377449117853,-0.629058384200962,0.312226695828127,-0.317210584868152,-0.0696234762911457,0.0409177153356551,0.0448630696691341,-0.0459300049564171,0.00337243749875705,0.00318639509910972,0.238779814403705
"CA",-0.046274152967878,0.348023733576693,0.375481411861786,0.409003160780151,-0.0111239125224777,0.262530302035144,0.12563990222011,-0.306632004761228,-0.563658119487739,-0.180446501139849,0.180213693143672,0.0631312249343965,0.0144340366779385,-0.0452369590413711,0.02500338152996,0.351086622310728
"GCA",-0.353779678010644,-0.125299642316426,0.0157768366882996,0.134106480719196,-0.100334514990924,0.35717669891642,0.244424215530565,0.385785902327936,0.0050199485610628,-0.292370221530599,-0.350375242544206,-0.0144250680696143,-0.190839660133054,0.315266740499791,-0.387815652794061,0.375313283721665
"TCA",-0.279816725002421,-0.293426564382313,0.117990021839726,0.301572028819397,0.202996818573842,-0.0433929210915137,0.149439807037323,0.209321866049646,0.283559908216243,-0.405693489814368,0.268087813639754,-0.108424307612442,0.240642817175791,-0.269541383686554,0.402884233882642,0.405458442107558
"TDCA",-0.345479064015502,-0.107171899966969,-0.164723513702732,0.0186578760292013,-0.0307387766178117,-0.426310151708109,0.357565012505101,-0.230316674176819,-0.12759363368381,0.137761718196383,0.34693142179275,-0.218704506398521,-0.115061121558956,0.510794830986172,0.0221540405149649,0.361720333704862
