"PC","Variance_Percent","Cumulative_Variance_Percent"
"PC1",40.8507758101035,40.8507758101035
"PC2",21.1538823385521,62.0046581486556
"PC3",12.2670139159005,74.2716720645562
"PC4",8.98255287892642,83.2542249434826
"PC5",5.96185952621805,89.2160844697006
"PC6",3.45785887593136,92.673943345632
"PC7",2.95723852493285,95.6311818705648
"PC8",1.57827017120096,97.2094520417658
"PC9",0.971416773944744,98.1808688157105
"PC10",0.828045935867656,99.0089147515782
"PC11",0.426456644109229,99.4353713956874
"PC12",0.282332585135142,99.7177039808226
"PC13",0.157010320391102,99.8747143012137
"PC14",0.0674374945547166,99.9421517957684
"PC15",0.0578482042316145,100
