"Check","Result"
"Raw data rows","203"
"Biological sample rows","159"
"Fasting rows available before PCA completeness filtering","95"
"PCA rows retained","67"
"PCA rows excluded for missing or non-positive BA values","28"
"Subjects represented in retained PCA rows","27"
"Timepoints included","2, 18, 26"
"NS4 after-meal rows excluded before PCA","32"
"Variables used","15 measured bile acids; aggregate classes excluded"
"Transformation","Natural log of LTR median-adjusted positive concentrations"
"Centering and scaling","prcomp(center = TRUE, scale. = TRUE)"
"Missing-value rule","Complete-case PCA across the 15 measured bile acids; no imputation"
